frame,x,y
0,201.4956379,207.4319515
1,201.4956379,207.4319515
2,200.8939075,207.2947779
3,200.2344275,207.2555923
4,199.6454859,207.1888618
5,198.516283,207.0247269
6,197.888217,207.2857151
7,197.4493074,207.0691004
8,196.7024803,207.2667789
9,195.9713459,207.6190596
10,195.1769257,207.6750898
11,194.8558331,207.6691561
12,194.2309284,207.8461637
13,193.4107161,208.1073627
14,192.4938869,208.1376476
15,192.2136354,208.2005196
16,191.7500353,208.5039358
17,190.9314823,208.8457108
18,190.2419186,208.9494543
19,189.6215343,209.2079296
20,188.8898993,209.5742664
21,188.504076,209.7172766
22,187.7515554,209.8655396
23,187.1974325,210.02246
24,186.6280603,210.278017
25,186.2773991,210.0940218
26,185.8816338,210.1304998
27,185.4631233,210.503808
28,184.3383551,210.668251
29,183.4846258,210.3515406
30,182.8947401,210.5037594
31,182.2295666,210.5678635
32,182.1984386,210.2127457
33,182.399826,210.5551691
34,182.9114342,210.9586811
35,183.2167912,210.6978388
36,183.5421324,210.9219923
37,183.9217901,210.971489
38,183.9209175,210.9432144
39,184.2297077,211.0243578
40,184.3759203,211.3321352
41,184.6295929,211.6082172
42,185.1627445,211.5628386
43,185.9836721,211.2279701
44,186.3496256,211.4944544
45,186.5679073,211.3557568
46,186.4733791,211.3434677
47,186.5935564,211.9407511
48,187.0284605,212.035821
49,187.5016308,212.0355453
50,187.621336,212.0429869
51,187.558465,212.0470076
52,187.9202271,212.3741589
53,188.4493732,212.2277117
54,188.8321495,212.1292696
55,188.8903713,212.0435219
56,189.2185307,212.3105412
57,189.3616676,211.7494764
58,189.6047688,211.4095011
59,189.9162197,211.599576
60,190.2950335,211.7604198
61,190.2748775,211.6572113
62,190.3626394,211.6018944
63,190.8084297,211.5614767
64,191.1059332,211.158143
65,190.8226204,211.1120834
66,190.9106255,211.4932222
67,191.2987661,210.9342327
68,191.6056395,211.3180628
69,191.6233492,211.1413631
70,191.9435978,211.0105124
71,192.6636028,211.1547222
72,192.3783302,211.1583214
73,192.718606,210.8559589
74,193.1041718,211.1444111
75,193.1942225,211.4065828
76,193.1822205,211.4023676
77,193.2579947,211.4616079
78,193.3941078,211.478631
79,193.4965324,211.5282574
80,193.7615347,211.6894579
81,194.0912533,211.5607309
82,194.0741873,211.409874
83,194.6108866,211.3512497
84,194.7664404,211.4174452
85,194.9830341,211.6963482
86,195.127387,211.8067226
87,195.3780985,211.7113285
